"month_value","year_value","confirmed_by_month","cumulative_by_month","total_year_avg"
5,2022,2861,174888,9795.6000000000000000
4,2022,1776,172531,9795.6000000000000000
3,2022,1106,171328,9795.6000000000000000
2,2022,6697,168760,9795.6000000000000000
1,2022,36538,148501,9795.6000000000000000
12,2021,13290,117718,5620.7500000000000000
11,2021,2525,112883,5620.7500000000000000
10,2021,3568,110241,5620.7500000000000000
9,2021,11092,103443,5620.7500000000000000
8,2021,10413,91364,5620.7500000000000000
7,2021,2524,84845,5620.7500000000000000
6,2021,490,83823,5620.7500000000000000
5,2021,1119,83091,5620.7500000000000000
4,2021,3056,81016,5620.7500000000000000
3,2021,3311,77719,5620.7500000000000000
2,2021,3801,74490,5620.7500000000000000
1,2021,12260,67424,5620.7500000000000000
12,2020,17569,51236,5999.7000000000000000
11,2020,10262,37140,5999.7000000000000000
10,2020,5335,29292,5999.7000000000000000
9,2020,2900,25485,5999.7000000000000000
8,2020,4383,22148,5999.7000000000000000
7,2020,9900,15232,5999.7000000000000000
6,2020,4483,7042,5999.7000000000000000
5,2020,2544,3939,5999.7000000000000000
4,2020,2052,1533,5999.7000000000000000
3,2020,569,177,5999.7000000000000000
